Title,PMID,ISSN
Inflammatory bowel diseases,38676392,1536-4844
Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,38688168,1950-6007
Archives of Iranian medicine,38690789,1735-3947
Journal of hypertension,38690914,1473-5598
Child abuse & neglect,38696952,1873-7757
Acta cardiologica,38699921,1784-973X
Clinics in perinatology,38705642,1557-9840
AJPM focus,38712309,2773-0654
International journal of STD & AIDS,38733263,1758-1052
Actas urologicas espanolas,38734070,2173-5786
Tropical medicine & international health : TM & IH,38741367,1365-3156
Clinical and experimental vaccine research,38752001,2287-3651
The Journal of bone and joint surgery. American volume,38753851,1535-1386
Environmental science and pollution research international,38758446,1614-7499
BMJ evidence-based medicine,38760158,2515-4478
Archives of orthopaedic and trauma surgery,38761235,1434-3916
"Med (New York, N.Y.)",38761802,2666-6340
Zhonghua zhong liu za zhi [Chinese journal of oncology],38764329,0253-3766
"Medicine, conflict, and survival",38768959,1362-3699
Health affairs scholar,38770112,2976-5390
Acta diabetologica,38775871,1432-5233
Journal of virology,38780249,1098-5514
Cell reports. Medicine,38781963,2666-3791
"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",38782719,1460-2385
Journal of orthopaedic translation,38800094,2214-031X
Addictive behaviors reports,38800761,2352-8532
Zhonghua lao dong wei sheng zhi ye bing za zhi = Zhonghua laodong weisheng zhiyebing zazhi = Chinese journal of industrial hygiene and occupational diseases,38802309,1001-9391
"Dermatitis : contact, atopic, occupational, drug",38804161,2162-5220
Nature communications,38806481,2041-1723
RSC advances,38813124,2046-2069
Translational oncology,38824874,1936-5233
The British journal of nutrition,38826087,1475-2662
Pediatrics,38832449,1098-4275
Amyotrophic lateral sclerosis & frontotemporal degeneration,38835201,2167-9223
Journal of the American College of Cardiology,38839202,1558-3597
Dialogues in health,38846580,2772-6533
BMC medical education,38849791,1472-6920
European review for medical and pharmacological sciences,38856143,2284-0729
BMJ quality & safety,38862263,2044-5423
"Wiadomosci lekarskie (Warsaw, Poland : 1960)",38865623,0043-5147
Revista panamericana de salud publica = Pan American journal of public health,38873364,1680-5348
Tropical doctor,38887102,1758-1133
International ophthalmology,38896279,1573-2630
Clinical & translational oncology : official publication of the Federation of Spanish Oncology Societies and of the National Cancer Institute of Mexico,38896340,1699-3055
Child and adolescent psychiatry and mental health,38898474,1753-2000
"Annals of surgery open : perspectives of surgical history, education, and clinical approaches",38911626,2691-3593
Metabolic syndrome and related disorders,38913385,1557-8518
Pain,38916499,1872-6623
Microorganisms,38399792,2076-2607
European journal of clinical nutrition,38402353,1476-5640
Journal of addiction medicine,38408186,1935-3227
Journal of vascular surgery,38408686,1097-6809
Globalization and health,38409001,1744-8603
Journal of Korean medical science,38412612,1598-6357
MethodsX,38420115,2215-0161
Annals of the rheumatic diseases,38429104,1468-2060
JAMA neurology,38436973,2168-6157
Therapeutic advances in endocrinology and metabolism,38439915,2042-0188
Environmental health perspectives,38445892,1552-9924
Korean journal of medical education,38462238,2005-7288
Research square,38464128,2693-5015
BMC health services research,38468279,1472-6963
Epidemiology and infection,38468382,1469-4409
International journal of chronic obstructive pulmonary disease,38476123,1178-2005
Research in developmental disabilities,38490136,1873-3379
International orthopaedics,38502335,1432-5195
General hospital psychiatry,38508076,1873-7714
The Science of the total environment,38508259,1879-1026
Chinese journal of traumatology = Zhonghua chuang shang za zhi,38508908,1008-1275
Journal of nephrology,38512378,1724-6059
International journal of health economics and management,38512638,2199-9031
PLoS medicine,38512968,1549-1676
Journal of back and musculoskeletal rehabilitation,38517768,1878-6324
Medical science monitor : international medical journal of experimental and clinical research,38525551,1643-3750
Pancreas,38530945,1536-4828
Biological trace element research,38546807,1559-0720
International review of neurobiology,38555118,2162-5514
The journal of obstetrics and gynaecology research,38561241,1447-0756
International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics,38563795,1879-3479
Molecular neurobiology,38564138,1559-1182
Environmental monitoring and assessment,38565772,1573-2959
"Continuum (Minneapolis, Minn.)",38568489,1538-6899
Gastric cancer : official journal of the International Gastric Cancer Association and the Japanese Gastric Cancer Association,38570392,1436-3305
Neuro endocrinology letters,38583193,2354-4716
Arquivos brasileiros de cardiologia,38597555,1678-4170
"The journals of gerontology. Series A, Biological sciences and medical sciences",38605684,1758-535X
Ear and hearing,38616317,1538-4667
Harefuah,38616635,0017-7768
World journal of virology,38616850,2220-3249
Gut and liver,38638100,2005-1212
JACC. Cardiovascular interventions,38151313,1876-7605
Pancreatology : official journal of the International Association of Pancreatology (IAP) ... [et al.],38151359,1424-3911
China CDC weekly,38152634,2096-7071
Journal of health economics,38154202,1879-1646
"Cellular and molecular biology (Noisy-le-Grand, France)",38158662,1165-158X
Industrial psychiatry journal,38161446,0972-6748
Gastroenterology,38176660,1528-0012
International journal for quality in health care : journal of the International Society for Quality in Health Care,38183265,1464-3677
Inflammation research : official journal of the European Histamine Research Society ... [et al.],38184814,1420-908X
Head & neck,38213093,1097-0347
Research in veterinary science,38215653,1532-2661
Cancer causes & control : CCC,38227176,1573-7225
Current diabetes reviews,38231048,1875-6417
Cerebral circulation - cognition and behavior,38235315,2666-2450
Journal of cataract and refractive surgery,38237071,1873-4502
Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research,38244983,1524-4733
BMC pediatrics,38262976,1471-2431
Obesity science & practice,38264007,2055-2238
Journal of gastrointestinal cancer,38265570,1941-6636
Health science reports,38274134,2398-8835
Health research policy and systems,38279103,1478-4505
Archives of women's mental health,38280031,1435-1102
Frontiers in psychology,38282853,1664-1078
Archives of medical sciences. Atherosclerotic diseases,38283927,2451-0629
Clinical kidney journal,38288035,2048-8505
JAMA psychiatry,38294785,2168-6238
Indian journal of psychiatry,38298877,0019-5545
The lancet. Diabetes & endocrinology,38310921,2213-8595
Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer,38311022,1556-1380
NPJ science of food,38316809,2396-8370
"Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology",38317630,1538-7755
Georgian medical news,38325298,1512-0112
Anatolian journal of cardiology,38327190,2149-2271
The Prostate,38328967,1097-0045
Health and quality of life outcomes,38350925,1477-7525
African health sciences,38357127,1729-0503
Canadian journal of public health = Revue canadienne de sante publique,38361176,1920-7476
Nature food,38365909,2662-1355
Patient preference and adherence,38375061,1177-889X
Heart & lung : the journal of critical care,38377628,1527-3288
The International journal of health planning and management,38383980,1099-1751
Preventive medicine,38387518,1096-0260
Zhong nan da xue xue bao. Yi xue ban = Journal of Central South University. Medical sciences,39931775,1672-7347
Central European journal of urology,40115482,2080-4806
Bioinformation,37886159,0973-2063
Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,37891501,1559-7016
"Molecules (Basel, Switzerland)",37894510,1420-3049
Psychiatria Danubina,37917835,0353-5053
Global health research and policy,37919804,2397-0642
Current problems in cancer,37926577,1535-6345
Annals of occupational and environmental medicine,37928378,2052-4374
"Applied physiology, nutrition, and metabolism = Physiologie appliquee, nutrition et metabolisme",37931243,1715-5320
Circulation. Cardiovascular interventions,37942628,1941-7632
Health systems and reform,37944505,2328-8620
Rheumatology and therapy,37948031,2198-6576
Current medical research and opinion,37950150,1473-4877
"Nutrition (Burbank, Los Angeles County, Calif.)",37951049,1873-1244
BJU international,37953505,1464-410X
Archives of physical medicine and rehabilitation,37956823,1532-821X
Journal of the American Geriatrics Society,37960928,1532-5415
General thoracic and cardiovascular surgery,37973657,1863-6713
The journal of ECT,37984354,1533-4112
Journal of community health,37985556,1573-3610
JCO global oncology,37992271,2687-8941
The Medical journal of Australia,37992722,1326-5377
Ophthalmology,38008289,1549-4713
Biomaterials research,38017585,1226-4601
Caspian journal of internal medicine,38024182,2008-6164
Journal of multimorbidity and comorbidity,38024540,2633-5565
Therapeutic advances in gastroenterology,38026102,1756-283X
Clinical case reports,38028046,2050-0904
Health information science and systems,38028960,2047-2501
Journal of neurosurgery. Pediatrics,38039546,1933-0715
Archives of osteoporosis,38052749,1862-3514
JAMA ophthalmology,38060235,2168-6173
Zhonghua kou qiang yi xue za zhi = Zhonghua kouqiang yixue zazhi = Chinese journal of stomatology,38061869,1002-0098
Zhonghua jie he he hu xi za zhi = Zhonghua jiehe he huxi zazhi = Chinese journal of tuberculosis and respiratory diseases,38062701,1001-0939
World journal of hepatology,38075011,1948-5182
World journal of gastroenterology,38075848,2219-2840
Seminars in immunopathology,38078911,1863-2300
Neuroscience and biobehavioral reviews,38100958,1873-7528
American heart journal,38109986,1097-6744
World journal of gastrointestinal surgery,38111771,1948-9366
Diabetes & vascular disease research,38128564,1752-8984
Laryngoscope investigative otolaryngology,38130247,2378-8038
Biology,38132300,2079-7737
Biomedicines,38137360,2227-9059
International journal of clinical practice,38146347,1742-1241
Therapeutic advances in respiratory disease,38146618,1753-4666
"Women's health (London, England)",38146632,1745-5065
Journal of racial and ethnic health disparities,38148442,2196-8837
Current atherosclerosis reports,37606811,1534-6242
Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery,37606833,1433-0350
Psychological assessment,37616094,1939-134X
Frontiers in veterinary science,37635759,2297-1769
"Addiction (Abingdon, England)",37649140,1360-0443
Journal of gastroenterology,37665532,1435-5922
Chemosphere,37669716,1879-1298
Molecular nutrition & food research,37672799,1613-4133
Asian cardiovascular & thoracic annals,37674443,1816-5370
JAMA oncology,37676656,2374-2445
LGBT health,37676973,2325-8306
Epilepsy & behavior : E&B,37677904,1525-5069
Molecular psychiatry,37684322,1476-5578
Acta neuropsychiatrica,37690795,1601-5215
European journal of physical and rehabilitation medicine,37695038,1973-9095
Le infezioni in medicina,37701383,2532-8689
"Digestive diseases (Basel, Switzerland)",37703863,1421-9875
Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA,37704919,1433-2965
World psychiatry : official journal of the World Psychiatric Association (WPA),37713544,1723-8617
Breast cancer research and treatment,37717225,1573-7217
Nephron,37717572,2235-3186
JRSM open,37719088,2054-2704
Comprehensive psychiatry,37722203,1532-8384
European journal of clinical investigation,37724975,1365-2362
Journal of the American Pharmacists Association : JAPhA,37734658,1544-3450
Schizophrenia bulletin,37738499,1745-1701
Clinical nutrition ESPEN,37739668,2405-4577
Journal of Ayurveda and integrative medicine,37741161,0975-9476
"Heart, lung & circulation",37743220,1444-2892
"Diseases (Basel, Switzerland)",37754312,2079-9721
BJPsych bulletin,37772484,2056-4694
Health equity,37786529,2473-1242
Dermatology and therapy,37794274,2193-8210
Journal of clinical rheumatology : practical reports on rheumatic & musculoskeletal diseases,37798834,1536-7355
Accident; analysis and prevention,37801816,1879-2057
Chest,37806491,1931-3543
The Libyan journal of medicine,37807671,1819-6357
Critical reviews in immunology,37824373,1040-8401
Cells,37830602,2073-4409
World journal of urology,37831157,1433-8726
"Daru : journal of Faculty of Pharmacy, Tehran University of Medical Sciences",37848743,2008-2231
"Global mental health (Cambridge, England)",37854396,2054-4251
Seminars in hematology,37863704,1532-8686
Archives of cardiovascular diseases,37863752,1875-2128
"Medical sciences (Basel, Switzerland)",37873748,2076-3271
"Critical care (London, England)",37875995,1466-609X
International journal of cardiology. Cardiovascular risk and prevention,37876911,2772-4875
BMJ oncology,39886513,2752-7948
Neurologia i neurochirurgia polska,37345748,0028-3843
The International journal of social psychiatry,37353952,1741-2854
"Global health, epidemiology and genomics",37377984,2054-4200
Zhongguo Zhong yao za zhi = Zhongguo zhongyao zazhi = China journal of Chinese materia medica,37382009,1001-5302
The bone & joint journal,37391207,2049-4408
Biology of sport,37398951,0860-021X
Nutrition & dietetics : the journal of the Dietitians Association of Australia,37400363,1747-0080
Global health promotion,37401462,1757-9767
The Cleft palate-craniofacial journal : official publication of the American Cleft Palate-Craniofacial Association,37403346,1545-1569
The Journal of pediatrics,37419239,1097-6833
Journal of multidisciplinary healthcare,37425247,1178-2390
Frontiers in physiology,37427409,1664-042X
European stroke journal,37431768,2396-9881
Biomedica : revista del Instituto Nacional de Salud,37433172,2590-7379
Cell metabolism,37437539,1932-7420
BMJ open respiratory research,37438048,2052-4439
Frontiers in genetics,37448626,1664-8021
Journal of environmental sciences (China),37451784,1001-0742
Journal of ovarian research,37452315,1757-2215
"Alcohol and alcoholism (Oxford, Oxfordshire)",37452498,1464-3502
Acta Cardiologica Sinica,37456949,1011-6842
Innovation (Cambridge (Mass.)),37485083,2666-6758
Journal of attention disorders,37491897,1557-1246
Health services insights,37492858,1178-6329
The American journal of cardiology,37494864,1879-1913
"Journal of neural transmission (Vienna, Austria : 1996)",37500938,1435-1463
Scandinavian journal of public health,37501582,1651-1905
Toxics,37505519,2305-6304
Brain sciences,37509027,2076-3425
Journal of primary care & community health,37522573,2150-1327
International journal of biometeorology,37522974,1432-1254
The British journal of surgery,37531553,1365-2168
The Pan African medical journal,37538367,1937-8688
"One health (Amsterdam, Netherlands)",37545541,2352-7714
BioMed research international,37564148,2314-6141
Journal of research in health sciences,37571950,2228-7809
"Journal of cardiovascular medicine (Hagerstown, Md.)",37577918,1558-2035
Endocrine connections,37578756,2049-3614
The Journal of craniofacial surgery,37582289,1536-3732
"Nutrition research (New York, N.Y.)",37598558,1879-0739
"Dermatologie (Heidelberg, Germany)",37599291,2731-7013
Cell genomics,37601970,2666-979X
"Journal of clinical hypertension (Greenwich, Conn.)",37602974,1751-7176
Annual review of nutrition,37603429,1545-4312
Portuguese journal of public health,39469658,2504-3145
Current pain and headache reports,37022563,1534-3081
Journal of infection in developing countries,37023429,1972-2680
Asia-Pacific journal of clinical oncology,37026375,1743-7563
European journal of epidemiology,37027116,1573-7284
Applied health economics and health policy,37039953,1179-1896
Kathmandu University medical journal (KUMJ),37042383,1812-2078
Progress in neuro-psychopharmacology & biological psychiatry,37068545,1878-4216
Seminars in respiratory and critical care medicine,37072021,1098-9048
Acta orthopaedica,37074086,1745-3682
Obesity reviews : an official journal of the International Association for the Study of Obesity,37095626,1467-789X
Breast cancer research : BCR,37101247,1465-542X
Journal of forensic and legal medicine,37126952,1878-7487
"Allergy, asthma & immunology research",37153981,2092-7355
SSM - population health,37215157,2352-8273
Journal of pediatric ophthalmology and strabismus,37227010,1938-2405
Scientific data,37244901,2052-4463
Infectious diseases and therapy,37261611,2193-8229
The oncologist,37265056,1549-490X
Annals of epidemiology,37268241,1873-2585
"Rheumatology (Oxford, England)",37279721,1462-0332
Annals of vascular surgery,37285965,1615-5947
International journal of nursing studies,37295284,1873-491X
Cancer science,37302807,1349-7006
Alzheimer disease and associated disorders,37314817,1546-4156
Neurosurgery practice,39958376,2834-4383
Quality & quantity,36685054,0033-5177
Health promotion perspectives,36686044,2228-6497
Frontiers in neuroscience,36704008,1662-4548
The Journal of hand surgery,36710229,1531-6564
Clinical journal of the American Society of Nephrology : CJASN,36719156,1555-905X
Clinical orthopaedics and related research,36727952,1528-1132
Science advances,36735794,2375-2548
The Indian journal of tuberculosis,36740324,0019-5707
NPJ vaccines,36788225,2059-0105
Journal of pediatric surgery,36792419,1531-5037
Current pharmaceutical biotechnology,36809954,1873-4316
International journal of mental health and addiction,36817983,1557-1874
"Air quality, atmosphere, & health",36819789,1873-9318
Epidemiology and health,36822190,2092-7193
mBio,36853048,2150-7511
Annals of the American Thoracic Society,36857650,2325-6621
Cost effectiveness and resource allocation : C/E,36859271,1478-7547
The EPMA journal,36866162,1878-5077
Journal of safety research,36868641,1879-1247
Eastern Mediterranean health journal = La revue de sante de la Mediterranee orientale = al-Majallah al-sihhiyah li-sharq al-mutawassit,36880492,1687-1634
"Journal of the Royal Statistical Society. Series A, (Statistics in Society)",36883132,0964-1998
Frontiers in pharmacology,36909179,1663-9812
Substance abuse : research and treatment,36923067,1178-2218
The Journal of nutrition,36931752,1541-6100
JGH open : an open access journal of gastroenterology and hepatology,36968565,2397-9070
JMIR formative research,36976622,2561-326X
"European spine journal : official publication of the European Spine Society, the European Spinal Deformity Society, and the European Section of the Cervical Spine Research Society",36350373,1432-0932
"Diagnostics (Basel, Switzerland)",36359559,2075-4418
Advances in medical sciences,36368288,1898-4002
Journal of the Air & Waste Management Association (1995),36376253,2162-2906
Clinical psychology in Europe,36398289,2625-3410
International journal of health policy and management,36404503,2322-5939
Journal of cardiovascular development and disease,36421934,2308-3425
Journal of nutritional science and vitaminology,36437007,1881-7742
Translational neurodegeneration,36437458,2047-9158
The Journal of rheumatology,36455948,1499-2752
South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde,36458349,2078-5135
JMIR mHealth and uHealth,36459399,2291-5222
Respiratory medicine,36462288,1532-3064
Zhonghua wei zhong bing ji jiu yi xue,36473568,2095-4352
Journal of eating disorders,36496474,2050-2974
Environmental and molecular mutagenesis,36502378,1098-2280
European journal of population = Revue europeenne de demographie,36507236,0168-6577
"Journal of plastic, reconstructive & aesthetic surgery : JPRAS",36516507,1878-0539
International journal of clinical oncology,36520255,1437-7772
Clinica e investigacion en arteriosclerosis : publicacion oficial de la Sociedad Espanola de Arteriosclerosis,36528410,1578-1879
Clinical and experimental rheumatology,36533984,0392-856X
Advanced healthcare materials,36541723,2192-2659
"Nephrology (Carlton, Vic.)",36564906,1440-1797
The Yale journal of biology and medicine,36568838,1551-4056
Journal of family & reproductive health,36569256,1735-8949
Transplantation and cellular therapy,36572384,2666-6367
Health and human rights,36579300,2150-4113
Journal of diabetes research,36582811,2314-6753
Surgery,36642654,1532-7361
Annals of translational medicine,36660613,2305-5839
Gaceta medica de Mexico,38386867,0016-3813
Fundamental research,38933510,2667-3258
European journal of cancer care,35980023,1365-2354
"Foods (Basel, Switzerland)",36010382,2304-8158
Acta oto-laryngologica,36018303,1651-2251
Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,36031386,1537-6591
Wei sheng yan jiu = Journal of hygiene research,36047266,1000-8020
Current nutrition reports,36097104,2161-3311
Nature medicine,36097220,1546-170X
Cadernos de saude publica,36102380,1678-4464
Seminars in neurology,36104164,1098-9021
Research report (Health Effects Institute),36106702,1041-5505
Journal of intellectual disability research : JIDR,36109168,1365-2788
L'Encephale,36109197,0013-7006
Kidney medicine,36159166,2590-0595
Critical reviews in oncology/hematology,36165817,1879-0461
Acta dermato-venereologica,36172697,1651-2057
Acta clinica Belgica,36172878,2295-3337
"Alzheimer's & dementia (Amsterdam, Netherlands)",36177152,2352-8729
Endocrine,36190652,1559-0100
Journal of cellular and molecular medicine,36201626,1582-4934
European child & adolescent psychiatry,36203071,1435-165X
Military medicine,36217781,1930-613X
Revista da Associacao Medica Brasileira (1992),36228268,1806-9282
Nutrition reviews,36240456,1753-4887
Virology journal,36266651,1743-422X
Journal of neurosurgery,36272121,1933-0693
Asian spine journal,36274246,1976-1902
The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease,36284412,1815-7920
The International journal of eating disorders,36301044,1098-108X
Indoor air,36305076,1600-0668
Chinese medical sciences journal = Chung-kuo i hsueh k'o hsueh tsa chih,36321173,1001-9294
Nordic journal of psychiatry,36332154,1502-4725
Current journal of neurology,38011359,2717-011X
Medical engineering & physics,35641073,1873-4030
Seminars in arthritis and rheumatism,35679791,1532-866X
Arthritis research & therapy,35690787,1478-6362
Systematic reviews,35690788,2046-4053
Beijing da xue xue bao. Yi xue ban = Journal of Peking University. Health sciences,35701127,1671-167X
Sexually transmitted diseases,35709184,1537-4521
JPMA. The Journal of the Pakistan Medical Association,35713063,0030-9982
Environmental geochemistry and health,35713838,1573-2983
American journal of industrial medicine,35726605,1097-0274
Gesundheitswesen (Bundesverband der Arzte des Offentlichen Gesundheitsdienstes (Germany)),35738301,1439-4421
The South African journal of psychiatry : SAJP : the journal of the Society of Psychiatrists of South Africa,35747338,1608-9685
Journal of clinical epidemiology,35760239,1878-5921
Sao Paulo medical journal = Revista paulista de medicina,35766636,1806-9460
The American journal of Chinese medicine,35770725,1793-6853
Health psychology research,35783664,2420-8124
The Turkish journal of gastroenterology : the official journal of Turkish Society of Gastroenterology,35786623,2148-5607
Health affairs (Project Hope),35787086,2694-233X
"Infectious diseases (London, England)",35801264,2374-4243
ERJ open research,35821757,2312-0541
Neurocritical care,35840824,1556-0961
Lung India : official organ of Indian Chest Society,35848664,0970-2113
Journal of bone oncology,35860387,2212-1366
Eplasty,35873067,1937-5719
"Chronic stress (Thousand Oaks, Calif.)",35874911,2470-5470
"AIDS (London, England)",35876637,1473-5571
Expert review of cardiovascular therapy,35880547,1744-8344
International journal of clinical and health psychology : IJCHP,35892040,2174-0852
Revista da Sociedade Brasileira de Medicina Tropical,35894394,1678-9849
The Nigerian postgraduate medical journal,35900456,1117-1936
European journal of translational myology,35904101,2037-7452
Diseases of the colon and rectum,35905144,1530-0358
Current health sciences journal,35911949,2067-0656
Communications earth & environment,35935537,2662-4435
Journal of medicinal chemistry,35938398,1520-4804
Nigerian journal of physiological sciences : official publication of the Physiological Society of Nigeria,35947849,0794-859X
"Arthritis & rheumatology (Hoboken, N.J.)",35233975,2326-5205
Ethiopian journal of health sciences,35250228,2413-7170
JAMA otolaryngology-- head & neck surgery,35266977,2168-619X
Human reproduction open,35280216,2399-3529
The journal of mental health policy and economics,35302050,1091-4358
International journal of reproductive biomedicine,35308328,2476-4108
Annals of the New York Academy of Sciences,35312197,1749-6632
Biomedical engineering online,35313918,1475-925X
Acta bio-medica : Atenei Parmensis,35315387,2531-6745
Journal of women's health (2002),35333604,1931-843X
The Journal of surgical research,35344741,1095-8673
Deutsche medizinische Wochenschrift (1946),35345049,1439-4413
OTO open,35356270,2473-974X
The international journal of lower extremity wounds,35379022,1552-6941
"Health policy (Amsterdam, Netherlands)",35387742,1872-6054
Annals of clinical and translational neurology,35395141,2328-9503
Neuromodulation : journal of the International Neuromodulation Society,35396074,1525-1403
Aging,35398840,1945-4589
International journal of cardiology. Heart & vasculature,35402692,2352-9067
"Prostaglandins, leukotrienes, and essential fatty acids",35413515,1532-2823
PeerJ,35415012,2167-8359
The Journal of the Association of Physicians of India,35443405,0004-5772
Stroke and vascular neurology,35443985,2059-8696
Paediatrics and international child health,35452362,2046-9055
The Journal of infection,35452715,1532-2742
EFSA journal. European Food Safety Authority,35464873,1831-4732
Reviews on environmental health,35468665,2191-0308
Revue d'epidemiologie et de sante publique,35469686,0398-7620
American Society of Clinical Oncology educational book. American Society of Clinical Oncology. Annual Meeting,35471832,1548-8756
Dental traumatology : official publication of International Association for Dental Traumatology,35481941,1600-9657
The Journal of laryngology and otology,35485736,1748-5460
Experimental brain research,35488904,1432-1106
Chiropractic & manual therapies,35505334,2045-709X
Pulmonary circulation,35506069,2045-8932
Journal of oncology,35509847,1687-8450
Journal of psychosomatic research,35526400,1879-1360
WHO South-East Asia journal of public health,35532596,2304-5272
Circulation journal : official journal of the Japanese Circulation Society,35569970,1347-4820
Diabetologia,35587275,1432-0428
Journal of epidemiology and community health,35613856,1470-2738
Journal of Nepal Health Research Council,35615843,1999-6217
Oxidative medicine and cellular longevity,35620580,1942-0994
"Antioxidants (Basel, Switzerland)",35624686,2076-3921
The Australasian journal of dermatology,35635491,1440-0960
Brain research bulletin,34871710,1873-2747
Asia-Pacific psychiatry : official journal of the Pacific Rim College of Psychiatrists,34873858,1758-5872
"Indian journal of dermatology, venereology and leprology",34877854,0973-3922
Journal of education and health promotion,34912913,2277-9531
Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco,34928373,1469-994X
Journal of Intelligence,34940383,2079-3200
Neurochemistry international,34942308,1872-9754
"European journal of cancer (Oxford, England : 1990)",34942552,1879-0852
Current topics in microbiology and immunology,34958419,0070-217X
The Australian and New Zealand journal of psychiatry,34963341,1440-1614
Human vaccines & immunotherapeutics,34965183,2164-554X
Journal of developmental and behavioral pediatrics : JDBP,35013066,1536-7312
Trials,35022086,1745-6215
European urology open science,35024630,2666-1683
BMC rheumatology,35045891,2520-1026
TheScientificWorldJournal,35069037,1537-744X
Emerging infectious diseases,35075997,1080-6059
International journal of dermatology,35090042,1365-4632
"The journals of gerontology. Series B, Psychological sciences and social sciences",35107166,1758-5368
European neurology,35134804,1421-9913
African journal of primary health care & family medicine,35144456,2071-2936
Journal of digestive diseases,35150060,1751-2980
"Journal of population research (Canberra, A.C.T.)",35153621,1443-2447
Zhonghua xin xue guan bing za zhi,35172463,0253-3758
Journal of cardiovascular electrophysiology,35178812,1540-8167
BMJ open diabetes research & care,35185016,2052-4897
Epilepsia,35195894,1528-1167
Current opinion in allergy and clinical immunology,35197428,1473-6322
eLife,35199645,2050-084X
JNMA; journal of the Nepal Medical Association,35199693,1815-672X
Swiss medical weekly,35201683,1424-3997
Expert opinion on therapeutic targets,35225139,1744-7631
The Journal of clinical endocrinology and metabolism,34491336,1945-7197
Gynecologic oncology,34507827,1095-6859
Medical care,34510105,1537-1948
International journal of medical informatics,34520934,1872-8243
mSphere,34523978,2379-5042
The Journal of the American Academy of Orthopaedic Surgeons,34525479,1940-5480
Insights into imaging,34529166,1869-4101
JBI evidence synthesis,34545015,2689-8381
Journal of the International AIDS Society,34546661,1758-2652
The International journal of developmental biology,34549799,1696-3547
Plastic and reconstructive surgery,34550940,1529-4242
Thorax,34556551,1468-3296
The European respiratory journal,34561283,1399-3003
American journal of Alzheimer's disease and other dementias,34565197,1938-2731
SN comprehensive clinical medicine,34568765,2523-8973
Applied nursing research : ANR,34602323,1532-8201
Clinical and translational gastroenterology,34608884,2155-384X
Cardiovascular research,34609502,1755-3245
High blood pressure & cardiovascular prevention : the official journal of the Italian Society of Hypertension,34652720,1179-1985
Journal of Cancer,34659559,1837-9664
Asian journal of neurosurgery,34660354,1793-5482
Parasites & vectors,34663445,1756-3305
Hematological oncology,34664286,1099-1069
ATS scholar,34667994,2690-7097
Analytical and bioanalytical chemistry,34668042,1618-2650
BMJ neurology open,34712954,2632-6140
Frontiers in digital health,34713043,2673-253X
Neuroreport,34718252,1473-558X
"International journal of health services : planning, administration, evaluation",34723675,1541-4469
Orphanet journal of rare diseases,34736503,1750-1172
Anesthesia and analgesia,34744155,1526-7598
"Alcoholism, clinical and experimental research",34748239,1530-0277
The Nursing clinics of North America,34749894,1558-1357
Seminars in pediatric neurology,34749910,1558-0776
European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,34758422,1873-7862
Journal of neuroinflammation,34763713,1742-2094
Translational pediatrics,34765491,2224-4344
Disability and rehabilitation,34783620,1464-5165
Journal of parasitic diseases : official organ of the Indian Society for Parasitology,34789968,0971-7196
Environmental toxicology and pharmacology,34800720,1872-7077
Current topics in behavioral neurosciences,34811715,1866-3370
Neonatology,34818237,1661-7819
Epidemiologia e prevenzione,34841843,1120-9763
International journal of molecular epidemiology and genetics,34853633,1948-1756
Frontiers in bioscience (Landmark edition),34856756,2768-6698
European journal of nutrition,34862518,1436-6215
Journal of pediatric rehabilitation medicine,34864704,1875-8894
Frontiers in molecular biosciences,34869603,2296-889X
Journal of Alzheimer's disease reports,34870105,2542-4823
BMC medical informatics and decision making,34078366,1472-6947
Journal of the neurological sciences,34082147,1878-5883
International journal of preventive medicine,34084320,2008-7802
AIDS and behavior,34089423,1573-3254
Appetite,34098002,1095-8304
"Advances in pharmacology (San Diego, Calif.)",34099111,1557-8925
Indian journal of cancer,34100415,1998-4774
"Bundesgesundheitsblatt, Gesundheitsforschung, Gesundheitsschutz",34100957,1437-1588
Journal of clinical periodontology,34101223,1600-051X
"Journal of child psychology and psychiatry, and allied disciplines",34128236,1469-7610
The Israel Medical Association journal : IMAJ,34155843,1565-1088
International journal of general medicine,34163221,1178-7074
The surgeon : journal of the Royal Colleges of Surgeons of Edinburgh and Ireland,34167911,1479-666X
"Mayo Clinic proceedings. Innovations, quality & outcomes",34195556,2542-4548
Handbook of clinical neurology,34225926,0072-9752
