Journal,Publisher,ISSN,eISSN,IF,zky
HAND CLINICS,W B SAUNDERS CO-ELSEVIER INC,0749-0712,1558-1969,0.9,4
Asian Journal of Endoscopic Surgery,WILEY,1758-5902,1758-5910,0.9,4
PROSTHETICS AND ORTHOTICS INTERNATIONAL,WOLTERS KLUWER HEALTH,0309-3646,1746-1553,0.8,4
International Journal of Surgery Open,ELSEVIER SCI LTD,2405-8572,2405-8572,0.8,4
Orthopaedic Nursing,LIPPINCOTT WILLIAMS & WILKINS,0744-6020,1542-538X,0.8,4
Journal of Wrist Surgery,THIEME MEDICAL PUBL INC,2163-3916,2163-3924,0.7,4
Clinics in Podiatric Medicine and Surgery,W B SAUNDERS CO-ELSEVIER INC,0891-8422,1558-2302,0.7,4
JOURNAL OF PROSTHETICS AND ORTHOTICS,LIPPINCOTT WILLIAMS & WILKINS,1040-8800,1534-6331,0.6,4
SPORTVERLETZUNG-SPORTSCHADEN,GEORG THIEME VERLAG KG,0932-0555,1439-1236,0.6,4
Malaysian Orthopaedic Journal,MALAYSIAN ORTHOPAEDIC ASSOC,1985-2533,2232-111X,0.6,4
Orthopadie,SPRINGER,2731-7145,2731-7153,0.6,4
ISOKINETICS AND EXERCISE SCIENCE,IOS PRESS,0959-3020,1878-5913,0.6,4
MLTJ-Muscles Ligaments and Tendons Journal,EDRA SPA,2240-4554,2240-4554,0.5,4
Acta Ortopedica Brasileira,ATHA COMUNICACAO & EDITORA,1413-7852,1809-4406,0.5,4
Obere Extremitaet-Schulter-Ellenbogen-Hand-Upper Extremity-Shoulder Elbow Hand,SPRINGER HEIDELBERG,1862-6599,1862-6602,0.5,4
Acta Orthopaedica Belgica,ACTA MEDICA BELGICA,0001-6462,0001-6462,0.5,4
Annals of Joint,AME PUBLISHING COMPANY,2415-6809,2415-6809,0.5,4
JOURNAL OF THE AMERICAN PODIATRIC MEDICAL ASSOCIATION,AMER PODIATRIC MED ASSOC,8750-7315,1930-8264,0.5,4
Bulletin of the Hospital for Joint Diseases,J MICHAEL RYAN PUBLISHING INC,2328-4633,2328-5273,0.4,4
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,GALEN SRO,0001-5415,0001-5415,0.4,4
Journal of Orthopaedics Trauma and Rehabilitation,SAGE PUBLICATIONS LTD,2210-4917,2210-4925,0.4,4
Case Reports in Orthopedics,HINDAWI LTD,2090-6749,2090-6757,0.4,4
Archives of Trauma Research,KASHAN UNIV MEDICAL SCIENCES,2251-953X,2251-9599,0.3,4
Travmatologiya i ortopediya Rossii,VREDEN RUSSIAN RESEARCH INST TRAUMATOLOGY & ORTHOPEDICS,2311-2905,2311-2905,0.3,4
Techniques in Orthopaedics,LIPPINCOTT WILLIAMS & WILKINS,0885-9698,2333-0600,0.2,4
Current Orthopaedic Practice,LIPPINCOTT WILLIAMS & WILKINS,1940-7041,1941-7551,0.2,4
Operative Techniques in Orthopaedics,W B SAUNDERS CO-ELSEVIER INC,1048-6666,1558-3848,0.2,4
Osteologie,GEORG THIEME VERLAG KG,1019-1291,2567-5818,0.2,4
Techniques in Foot and Ankle Surgery,LIPPINCOTT WILLIAMS & WILKINS,1536-0644,1538-1943,0.1,4
International Journal of Physiotherapy,IJPHY PUBLISHERS,2349-5987,2348-8336,0.1,4
ALLERGY,WILEY,0105-4538,1398-9995,12.6,1
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,MOSBY-ELSEVIER,0091-6749,1097-6825,11.4,1
CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY,HUMANA PRESS INC,1080-0549,1559-0267,8.4,1
Journal of Allergy and Clinical Immunology-In Practice,ELSEVIER,2213-2198,2213-2201,8.2,1
JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY,"ESMON PUBLICIDAD S A, DEPT ALLERGY & CLIN IMMUNOL, CLIN UNIV NAVARRA",1018-9068,1698-0808,6.7,3
CLINICAL AND EXPERIMENTAL ALLERGY,WILEY,0954-7894,1365-2222,6.3,2
ALLERGOLOGY INTERNATIONAL,JAPANESE SOC ALLERGOLOGY,1323-8930,1440-1592,6.2,2
CURRENT ALLERGY AND ASTHMA REPORTS,CURRENT MEDICINE GROUP,1529-7322,1534-6315,5.4,2
ANNALS OF ALLERGY ASTHMA & IMMUNOLOGY,ELSEVIER SCIENCE INC,1081-1206,1534-4436,5.3,2
CONTACT DERMATITIS,WILEY,0105-1873,1600-0536,4.8,1
Clinical and Translational Allergy,WILEY,N/A,2045-7022,4.6,2
PEDIATRIC ALLERGY AND IMMUNOLOGY,WILEY,0905-6157,1399-3038,4.3,2
Allergy Asthma & Immunology Research,KOREAN ACAD ASTHMA ALLERGY & CLINICAL IMMUNOLOGY,2092-7355,2092-7363,4.1,2
World Allergy Organization Journal,ELSEVIER,1939-4551,1939-4551,3.9,2
Journal of Asthma and Allergy,DOVE MEDICAL PRESS LTD,1178-6965,1178-6965,3.7,3
Frontiers in Allergy,FRONTIERS MEDIA SA,N/A,2673-6101,3.3,3
Current Opinion in Allergy and Clinical Immunology,LIPPINCOTT WILLIAMS & WILKINS,1528-4050,1473-6322,3,3
IMMUNOLOGY AND ALLERGY CLINICS OF NORTH AMERICA,W B SAUNDERS CO-ELSEVIER INC,0889-8561,1557-8607,2.7,3
ALLERGY AND ASTHMA PROCEEDINGS,OCEAN SIDE PUBLICATIONS INC,1088-5412,1539-6304,2.6,3
European Annals of Allergy and Clinical Immunology,EDRA SPA,1764-1489,1764-1489,2.6,4
Allergy Asthma and Clinical Immunology,BMC,1710-1492,1710-1492,2.6,4
INTERNATIONAL ARCHIVES OF ALLERGY AND IMMUNOLOGY,KARGER,1018-2438,1423-0097,2.5,4
ALLERGOLOGIA ET IMMUNOPATHOLOGIA,CODON PUBLICATIONS,0301-0546,1578-1267,2.5,4
ASIAN PACIFIC JOURNAL OF ALLERGY AND IMMUNOLOGY,ALLERGY IMMUNOL SOC THAILAND,0125-877X,2228-8694,2.3,4
Current Treatment Options in Allergy,SPRINGERNATURE,N/A,2196-3053,1.9,4
JOURNAL OF ASTHMA,TAYLOR & FRANCIS LTD,0277-0903,1532-4303,1.7,4
Asia Pacific Allergy,LIPPINCOTT WILLIAMS & WILKINS,2233-8276,2233-8268,1.6,4
Postepy Dermatologii i Alergologii,TERMEDIA PUBLISHING HOUSE LTD,1642-395X,2299-0046,1.4,4
ALLERGOLOGIE,DUSTRI-VERLAG DR KARL FEISTLE,0344-5062,0344-5062,1.4,4
Iranian Journal of Allergy Asthma and Immunology,TEHRAN UNIV MEDICAL SCIENCES,1735-1502,1735-5249,1.2,4
Pediatric Allergy Immunology and Pulmonology,"MARY ANN LIEBERT, INC",2151-321X,2151-3228,1.1,4
Allergo Journal,SPRINGER HEIDELBERG,0941-8849,2195-6405,1.1,4
Journal of Cutaneous Immunology and Allergy,FRONTIERS MEDIA SA,N/A,2574-4593,1.1,4
Revue Francaise d Allergologie,"ELSEVIER MASSON, CORP OFF",1877-0320,N/A,0.5,4
Asthma Allergy Immunology,Turkish Natl Soc Allergy and Clinical Immunology,1308-9234,1308-9234,0.3,4
Allergy Asthma & Respiratory Disease,KOREAN ACAD ASTHMA ALLERGY & CLINICAL IMMUNOLOGY,2288-0402,2288-0410,0.2,4
Alergologia Polska-Polish Journal of Allergology,TERMEDIA PUBLISHING HOUSE LTD,2353-3854,2353-3854,0.2,4
Egyptian Journal of Pediatric Allergy and Immunology,EGYPTIAN SOC PEDIATRIC ALLERGY & IMMUNOLOGY,1687-1642,2314-8934,0.2,4
Current Allergy & Clinical Immunology,ALLERGY SOC SOUTH AFRICA,1609-3607,1609-3607,0.2,4
Lancet Respiratory Medicine,ELSEVIER SCI LTD,2213-2600,N/A,38.7,1
Journal of Thoracic Oncology,ELSEVIER SCIENCE INC,1556-0864,1556-1380,21.1,1
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,AMER THORACIC SOC,1073-449X,1535-4970,19.3,1
EUROPEAN RESPIRATORY JOURNAL,EUROPEAN RESPIRATORY SOC JOURNALS LTD,0903-1936,1399-3003,17,1
THORAX,BMJ PUBLISHING GROUP,0040-6376,1468-3296,10.8,1
Pulmonology,ELSEVIER,2531-0437,2531-0437,10.4,2
CHEST,ELSEVIER,0012-3692,1931-3543,9.5,1
European Respiratory Review,EUROPEAN RESPIRATORY SOC JOURNALS LTD,0905-9180,1600-0617,9,1
ARCHIVOS DE BRONCONEUMOLOGIA,ELSEVIER ESPANA SLU,0300-2896,1579-2129,8.7,3
Pneumonia,BMC,2200-6133,2200-6133,8.5,3
Annals of the American Thoracic Society,AMER THORACIC SOC,1546-3222,2325-6621,6.8,2
RESPIROLOGY,WILEY,1323-7799,1440-1843,6.6,2
JOURNAL OF HEART AND LUNG TRANSPLANTATION,ELSEVIER SCIENCE INC,1053-2498,1557-3117,6.4,1
AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY,AMER THORACIC SOC,1044-1549,1535-4989,5.9,2
Journal of Cystic Fibrosis,ELSEVIER,1569-1993,1873-5010,5.4,2
JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY,MOSBY-ELSEVIER,0022-5223,1097-685X,4.9,2
Paediatric Respiratory Reviews,ELSEVIER SCI LTD,1526-0542,1526-0550,4.7,3
RESPIRATORY RESEARCH,BMC,N/A,1465-993X,4.7,2
LUNG,SPRINGER,0341-2040,1432-1750,4.6,3
LUNG CANCER,ELSEVIER IRELAND LTD,0169-5002,1872-8332,4.5,2
ERJ Open Research,EUROPEAN RESPIRATORY SOC JOURNALS LTD,N/A,2312-0541,4.3,2
Translational Lung Cancer Research,AME PUBLISHING COMPANY,2218-6751,2226-4477,4,3
Journal of Breath Research,IOP Publishing Ltd,1752-7155,1752-7163,3.8,4
INTERNATIONAL JOURNAL OF TUBERCULOSIS AND LUNG DISEASE,INT UNION AGAINST TUBERCULOSIS LUNG DISEASE (I U A T L D),1027-3719,1815-7920,3.8,3
ANNALS OF THORACIC SURGERY,ELSEVIER SCIENCE INC,0003-4975,1552-6259,3.7,2
AMERICAN JOURNAL OF PHYSIOLOGY-LUNG CELLULAR AND MOLECULAR PHYSIOLOGY,AMER PHYSIOLOGICAL SOC,1040-0605,1522-1504,3.7,3
BMJ Open Respiratory Research,BMJ PUBLISHING GROUP,N/A,2052-4439,3.7,3
Journal of Asthma and Allergy,DOVE MEDICAL PRESS LTD,1178-6965,1178-6965,3.7,3
RESPIRATORY MEDICINE,W B SAUNDERS CO LTD,0954-6111,1532-3064,3.5,3
RESPIRATION,KARGER,0025-7931,1423-0356,3.5,3
Chronic Respiratory Disease,SAGE PUBLICATIONS LTD,1479-9723,1479-9731,3.5,3
EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY,OXFORD UNIV PRESS INC,1010-7940,1873-734X,3.3,2
Therapeutic Advances in Respiratory Disease,SAGE PUBLICATIONS LTD,1753-4658,1753-4666,3.3,3
PULMONARY PHARMACOLOGY & THERAPEUTICS,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,1094-5539,N/A,3.3,3
Journal of Bronchology & Interventional Pulmonology,LIPPINCOTT WILLIAMS & WILKINS,1944-6586,1948-8270,3.3,2
npj Primary Care Respiratory Medicine,NATURE PORTFOLIO,N/A,2055-1010,3.1,2
JTO Clinical and Research Reports,ELSEVIER,N/A,2666-3643,3,4
Expert Review of Respiratory Medicine,TAYLOR & FRANCIS LTD,1747-6348,1747-6356,2.9,3
CURRENT OPINION IN PULMONARY MEDICINE,LIPPINCOTT WILLIAMS & WILKINS,1070-5287,1531-6971,2.9,3
Jornal Brasileiro de Pneumologia,SOC BRASILEIRA PNEUMOLOGIA TISIOLOGIA,1806-3713,1806-3756,2.9,4
CLINICS IN CHEST MEDICINE,W B SAUNDERS CO-ELSEVIER INC,0272-5231,1557-8216,2.8,3
Tuberculosis,CHURCHILL LIVINGSTONE,1472-9792,1873-281X,2.8,4
PEDIATRIC PULMONOLOGY,WILEY,8755-6863,1099-0496,2.7,4
International Journal of Chronic Obstructive Pulmonary Disease,DOVE MEDICAL PRESS LTD,1178-2005,1178-2005,2.7,3
BMC Pulmonary Medicine,BMC,1471-2466,1471-2466,2.6,3
Tuberculosis and Respiratory Diseases,THE KOREAN ACAD TUBERCULOSIS & RESPIRATORY DISEASES,1738-3536,2005-6184,2.5,4
HEART & LUNG,MOSBY-ELSEVIER,0147-9563,1527-3288,2.4,4
Respiratory Investigation,ELSEVIER,2212-5345,2212-5353,2.4,4
Respiratory Care,DAEDALUS ENTERPRISES INC,0020-1324,1943-3654,2.4,4
JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA,W B SAUNDERS CO-ELSEVIER INC,1053-0770,1532-8422,2.3,4
Thoracic Cancer,WILEY,1759-7706,1759-7714,2.3,4
Chronic Obstructive Pulmonary Diseases-Journal of the COPD Foundation,COPD FOUNDATION,2372-952X,2372-952X,2.3,3
Pulmonary Therapy,SPRINGERNATURE,2364-1754,2364-1746,2.3,4
SEMINARS IN RESPIRATORY AND CRITICAL CARE MEDICINE,THIEME MEDICAL PUBL INC,1069-3424,1098-9048,2.3,4
Breathe,EUROPEAN RESPIRATORY SOC JOURNALS LTD,1810-6838,2073-4735,2.3,4
Pulmonary Circulation,WILEY,2045-8932,2045-8940,2.2,4
COPD-Journal of Chronic Obstructive Pulmonary Disease,TAYLOR & FRANCIS INC,1541-2555,1541-2563,2.2,4
Respiratory Medicine and Research,ELSEVIER,N/A,2590-0412,2.2,4
Journal of Aerosol Medicine and Pulmonary Drug Delivery,"MARY ANN LIEBERT, INC",1941-2711,1941-2703,2.1,4
Sleep and Breathing,SPRINGER HEIDELBERG,1520-9512,1522-1709,2.1,4
Annals of Thoracic Medicine,WOLTERS KLUWER MEDKNOW PUBLICATIONS,1817-1737,1998-3557,2.1,4
Canadian Respiratory Journal,HINDAWI LTD,1198-2241,1916-7245,2.1,4
Journal of Thoracic Disease,AME PUBLISHING COMPANY,2072-1439,2077-6624,2.1,4
Pulmonary Medicine,HINDAWI LTD,2090-1836,2090-1844,2,4
Multidisciplinary Respiratory Medicine,MATTIOLI 1885,1828-695X,2049-6958,2,4
RESPIRATORY PHYSIOLOGY & NEUROBIOLOGY,ELSEVIER,1569-9048,1878-1519,1.9,4
Clinical Respiratory Journal,WILEY,1752-6981,1752-699X,1.9,4
Journal of Clinical Tuberculosis and Other Mycobacterial Diseases,ELSEVIER,2405-5794,2405-5794,1.9,4
European Clinical Respiratory Journal,TAYLOR & FRANCIS LTD,2001-8525,2001-8525,1.8,4
Advances in Respiratory Medicine,MDPI,2451-4934,2543-6031,1.8,4
ATS Scholar,AMER THORACIC SOC,N/A,2690-7097,1.7,4
JOURNAL OF ASTHMA,TAYLOR & FRANCIS LTD,0277-0903,1532-4303,1.7,4
Interactive Cardiovascular and Thoracic Surgery,OXFORD UNIV PRESS,1569-9293,1569-9285,1.6,NA
EXPERIMENTAL LUNG RESEARCH,TAYLOR & FRANCIS INC,0190-2148,1521-0499,1.5,4
Canadian Journal of Respiratory Critical Care and Sleep Medicine,TAYLOR & FRANCIS INC,2474-5332,2474-5340,1.5,4
SARCOIDOSIS VASCULITIS AND DIFFUSE LUNG DISEASES,MATTIOLI 1885,1124-0490,N/A,1.4,4
THORACIC AND CARDIOVASCULAR SURGEON,GEORG THIEME VERLAG KG,0171-6425,1439-1902,1.3,4
Lung India,WOLTERS KLUWER MEDKNOW PUBLICATIONS,0970-2113,0974-598X,1.3,4
Public Health Action,INT UNION AGAINST TUBERCULOSIS LUNG DISEASE (I U A T L D),2220-8372,2220-8372,1.3,4
PNEUMOLOGIE,GEORG THIEME VERLAG KG,0934-8387,1438-8790,1.2,4
Thoracic Surgery Clinics,W B SAUNDERS CO-ELSEVIER INC,1547-4127,1558-5069,1.1,4
Monaldi Archives for Chest Disease,PAGEPRESS PUBL,1122-0643,2532-5264,1.1,4
Pediatric Allergy Immunology and Pulmonology,"MARY ANN LIEBERT, INC",2151-321X,2151-3228,1.1,4
Current Pulmonology Reports,SPRINGER,N/A,2199-2428,1.1,4
Clinical Medicine Insights-Circulatory Respiratory and Pulmonary Medicine,SAGE PUBLICATIONS LTD,1179-5484,1179-5484,1,NA
Egyptian Journal of Bronchology,SPRINGER,1687-8426,2314-8551,1,4
Canadian Journal of Respiratory Therapy,Canadian Soc Respiratory Therapists - CSRT Ottawa Office,N/A,2368-6820,1,4
Lung Cancer Management,FUTURE MEDICINE LTD,1758-1966,1758-1974,0.9,4
Respiratory Medicine Case Reports,ELSEVIER,2213-0071,2213-0071,0.8,4
Respirology Case Reports,WILEY,2051-3380,2051-3380,0.8,4
Turkish Thoracic Journal,AVES,N/A,2149-2530,0.8,NA
Tuberkuloz ve Toraks-Tuberculosis and Thorax,TURKISH ASSOC TUBERCULOSIS & THORAX,0494-1373,0494-1373,0.7,4
Pneumon,EUROPEAN PUBLISHING,1105-848X,1791-4914,0.5,4
REVUE DES MALADIES RESPIRATOIRES,MASSON EDITEUR,0761-8425,1776-2588,0.5,4
Life Span and Disability,CITTA APERTA EDIZIONI SRL,1721-0151,2035-5963,0.5,4
Minerva Respiratory Medicine,EDIZIONI MINERVA MEDICA,2784-8477,2724-6493,0.2,4
Current Respiratory Medicine Reviews,BENTHAM SCIENCE PUBL LTD,1573-398X,1875-6387,0.2,4
Indian Journal of Respiratory Care,JAYPEE BROTHERS MEDICAL PUBLISHERS PVT LTD,2277-9019,2321-4899,0.2,4
Egyptian Journal of Chest Diseases and Tuberculosis,WOLTERS KLUWER MEDKNOW PUBLICATIONS,0422-7638,2090-9950,0.2,4
Eurasian Journal of Pulmonology,KARE PUBL,2148-3620,2148-5402,0.1,4
Zeitschrift fur Pneumologie,SPRINGER HEIDELBERG,2731-7404,2731-7412,0.1,4
Interdisciplinary Cardiovascular and Thoracic Surgery,OXFORD UNIV PRESS,N/A,2753-670X,N/A,4
Therapeutic Advances in Pulmonary and Critical Care Medicine,SAGE PUBLICATIONS LTD,N/A,2976-8675,N/A,4
Thoracic Research and Practice,AVES,N/A,2979-9139,N/A,4
INTERNATIONAL JOURNAL OF NURSING STUDIES,PERGAMON-ELSEVIER SCIENCE LTD,0020-7489,1873-491X,7.5,1
Intensive and Critical Care Nursing,ELSEVIER SCI LTD,0964-3397,1532-4036,4.9,2
Women and Birth,ELSEVIER,1871-5192,1878-1799,4.4,2
Journal of Nursing Regulation,ELSEVIER,2155-8256,2155-8264,4.2,4
NURSING OUTLOOK,ELSEVIER SCIENCE INC,0029-6554,1528-3968,4.1,2
INTERNATIONAL NURSING REVIEW,WILEY,0020-8132,1466-7657,3.8,2
JOURNAL OF ADVANCED NURSING,WILEY,0309-2402,1365-2648,3.8,2
Journal of Nursing Management,WILEY-HINDAWI,0966-0429,1365-2834,3.7,2
NURSE EDUCATION TODAY,CHURCHILL LIVINGSTONE,0260-6917,1532-2793,3.6,2
International Journal of Mental Health Nursing,WILEY,1445-8330,1447-0349,3.6,2
Worldviews on Evidence-Based Nursing,WILEY,1545-102X,1741-6787,3.4,2
Clinical Simulation in Nursing,ELSEVIER SCIENCE INC,1876-1399,1876-1402,3.4,3
Nurse Education in Practice,ELSEVIER SCI LTD,1471-5953,1873-5223,3.3,2
JOURNAL OF CLINICAL NURSING,WILEY,0962-1067,1365-2702,3.2,3
BMC NURSING,BMC,1472-6955,1472-6955,3.1,2
International Journal of Nursing Studies Advances,ELSEVIER,2666-142X,2666-142X,3.1,3
Nursing in Critical Care,WILEY,1362-1017,1478-5153,3,4
International Journal of Nursing Sciences,ELSEVIER,N/A,2352-0132,2.9,1
NURSING ETHICS,SAGE PUBLICATIONS LTD,0969-7330,1477-0989,2.9,1
European Journal of Cardiovascular Nursing,OXFORD UNIV PRESS,1474-5151,1873-1953,2.9,3
Journal of Infusion Nursing,LIPPINCOTT WILLIAMS & WILKINS,1533-1458,1539-0667,2.9,4
JOURNAL OF PROFESSIONAL NURSING,W B SAUNDERS CO-ELSEVIER INC,8755-7223,1532-8481,2.8,2
BIRTH-ISSUES IN PERINATAL CARE,WILEY,0730-7659,1523-536X,2.8,3
Nurse Educator,LIPPINCOTT WILLIAMS & WILKINS,0363-3624,1538-9855,2.7,3
APPLIED NURSING RESEARCH,W B SAUNDERS CO-ELSEVIER INC,0897-1897,1532-8201,2.7,3
European Journal of Oncology Nursing,ELSEVIER SCI LTD,1462-3889,1532-2122,2.7,3
AMERICAN JOURNAL OF CRITICAL CARE,AMER ASSOC CRITICAL CARE NURSES,1062-3264,1937-710X,2.7,3
Nursing Philosophy,WILEY,1466-7681,1466-769X,2.6,3
Journal of Family Nursing,SAGE PUBLICATIONS INC,1074-8407,1552-549X,2.6,2
MIDWIFERY,ELSEVIER SCI LTD,0266-6138,1532-3099,2.6,3
Australian Critical Care,ELSEVIER SCIENCE INC,1036-7314,1878-1721,2.6,3
Journal of Psychiatric and Mental Health Nursing,WILEY,1351-0126,1365-2850,2.6,3
Journal of Pediatric Health Care,ELSEVIER SCIENCE INC,0891-5245,1532-656X,2.5,4
Geriatric Nursing,MOSBY-ELSEVIER,0197-4572,1528-3984,2.5,3
AMERICAN JOURNAL OF NURSING,LIPPINCOTT WILLIAMS & WILKINS,0002-936X,1538-7488,2.5,4
JOURNAL OF NURSING SCHOLARSHIP,WILEY,1527-6546,1547-5069,2.4,3
Journal of Nursing Research,LIPPINCOTT WILLIAMS & WILKINS,1682-3141,1948-965X,2.4,3
Journal of Tissue Viability,ELSEVIER SCI LTD,0965-206X,1876-4746,2.4,3
Nursing Reports,MDPI,2039-439X,2039-4403,2.4,3
NURSING CLINICS OF NORTH AMERICA,W B SAUNDERS CO-ELSEVIER INC,0029-6465,1558-1357,2.4,4
CANCER NURSING,LIPPINCOTT WILLIAMS & WILKINS,0162-220X,1538-9804,2.4,3
Asia-Pacific Journal of Oncology Nursing,ELSEVIER SCIENCE INC,2347-5625,2349-6673,2.4,4
HEART & LUNG,MOSBY-ELSEVIER,0147-9563,1527-3288,2.4,4
Workplace Health & Safety,SAGE PUBLICATIONS INC,2165-0799,2165-0969,2.3,4
Seminars in Oncology Nursing,ELSEVIER SCIENCE INC,0749-2081,1878-3449,2.3,3
NURSING FORUM,WILEY-HINDAWI,0029-6473,1744-6198,2.2,3
NURSING RESEARCH,LIPPINCOTT WILLIAMS & WILKINS,0029-6562,1538-9847,2.2,3
Nursing Research and Practice,HINDAWI LTD,2090-1429,2090-1437,2.2,3
Global Qualitative Nursing Research,SAGE PUBLICATIONS INC,2333-3936,2333-3936,2.2,3
Nursing Inquiry,WILEY,1320-7881,1440-1800,2.2,3
JOURNAL OF MIDWIFERY & WOMENS HEALTH,WILEY,1526-9523,1542-2011,2.2,4
ARCHIVES OF PSYCHIATRIC NURSING,W B SAUNDERS CO-ELSEVIER INC,0883-9417,1532-8228,2.2,4
Journal of Pediatric Nursing-Nursing Care of Children & Families,ELSEVIER SCIENCE INC,0882-5963,N/A,2.1,3
Nursing & Health Sciences,WILEY,1441-0745,1442-2018,2.1,3
Asian Nursing Research,ELSEVIER SCIENCE INC,1976-1317,2093-7482,2.1,4
Australasian Emergency Care,ELSEVIER SCI LTD,N/A,2588-994X,2.1,3
RESEARCH IN NURSING & HEALTH,WILEY,0160-6891,1098-240X,2.1,3
JOURNAL OF HUMAN LACTATION,SAGE PUBLICATIONS INC,0890-3344,1552-5732,2.1,3
Policy Politics & Nursing Practice,SAGE PUBLICATIONS INC,1527-1544,1552-7468,2.1,3
International Journal of Qualitative Studies on Health and Well-Being,TAYLOR & FRANCIS LTD,1748-2623,1748-2631,2.1,3
Nursing Open,WILEY,2054-1058,2054-1058,2,4
SAGE Open Nursing,SAGE PUBLICATIONS INC,2377-9608,2377-9608,2,3
AACN Advanced Critical Care,AMER ASSOC CRITICAL CARE NURSES,1559-7768,1559-7776,2,4
Journal of Holistic Nursing,SAGE PUBLICATIONS INC,0898-0101,1552-5724,2,3
WESTERN JOURNAL OF NURSING RESEARCH,SAGE PUBLICATIONS INC,0193-9459,1552-8456,2,4
Critical Care Nurse,AMER ASSOC CRITICAL CARE NURSES,0279-5442,1940-8250,2,4
Biological Research for Nursing,SAGE PUBLICATIONS INC,1099-8004,1552-4175,1.9,4
Teaching and Learning in Nursing,ELSEVIER SCIENCE INC,1557-3087,1557-2013,1.9,3
MCN-The American Journal of Maternal-Child Nursing,LIPPINCOTT WILLIAMS & WILKINS,0361-929X,1539-0683,1.9,4
International Journal of Nursing Practice,WILEY,1322-7114,1440-172X,1.9,4
SCANDINAVIAN JOURNAL OF CARING SCIENCES,WILEY,0283-9318,1471-6712,1.9,4
PERSPECTIVES IN PSYCHIATRIC CARE,WILEY,0031-5990,1744-6163,1.9,4
Australian Journal of Rural Health,WILEY,1038-5282,1440-1584,1.9,4
Journal of Pediatric Oncology Nursing,SAGE PUBLICATIONS INC,1043-4542,1532-8457,1.9,NA
Journal of Emergency Nursing,ELSEVIER SCIENCE INC,0099-1767,1527-2966,1.8,4
JOURNAL OF NURSING ADMINISTRATION,LIPPINCOTT WILLIAMS & WILKINS,0002-0443,1539-0721,1.8,4
International Emergency Nursing,ELSEVIER SCI LTD,1755-599X,1878-013X,1.8,4
EUROPEAN JOURNAL OF CANCER CARE,WILEY,0961-5423,1365-2354,1.8,4
JOGNN-JOURNAL OF OBSTETRIC GYNECOLOGIC AND NEONATAL NURSING,ELSEVIER SCIENCE INC,0884-2175,1552-6909,1.8,4
Canadian Journal of Nursing Research,SAGE PUBLICATIONS INC,0844-5621,1705-7051,1.7,4
Journal of Wound Ostomy and Continence Nursing,LIPPINCOTT WILLIAMS & WILKINS,1071-5754,1528-3976,1.7,4
Japan Journal of Nursing Science,WILEY,1742-7932,1742-7924,1.7,4
Clinical Nursing Research,SAGE PUBLICATIONS INC,1054-7738,1552-3799,1.7,4
Journal of Cardiovascular Nursing,LIPPINCOTT WILLIAMS & WILKINS,0889-4655,1550-5049,1.7,4
Advances in Skin & Wound Care,LIPPINCOTT WILLIAMS & WILKINS,1527-7941,1538-8654,1.7,4
PUBLIC HEALTH NURSING,WILEY,0737-1209,1525-1446,1.7,4
Issues in Mental Health Nursing,TAYLOR & FRANCIS INC,0161-2840,1096-4673,1.7,4
Journal of Research in Nursing,SAGE PUBLICATIONS LTD,1744-9871,1744-988X,1.6,4
Pain Management Nursing,ELSEVIER SCIENCE INC,1524-9042,1532-8635,1.6,4
ADVANCES IN NURSING SCIENCE,LIPPINCOTT WILLIAMS & WILKINS,0161-9268,1550-5014,1.6,4
Advances in Neonatal Care,LIPPINCOTT WILLIAMS & WILKINS,1536-0903,1536-0911,1.6,4
Collegian,ELSEVIER,1322-7696,1876-7575,1.6,4
Journal of Child and Adolescent Psychiatric Nursing,WILEY,1073-6077,1744-6171,1.6,4
Journal of PeriAnesthesia Nursing,ELSEVIER SCIENCE INC,1089-9472,1532-8473,1.6,4
JOURNAL OF NURSING EDUCATION,SLACK INC,0148-4834,1938-2421,1.6,4
JANAC-JOURNAL OF THE ASSOCIATION OF NURSES IN AIDS CARE,LIPPINCOTT WILLIAMS & WILKINS,1055-3290,1552-6917,1.6,4
International Journal of Older People Nursing,WILEY,1748-3735,1748-3743,1.6,4
ONCOLOGY NURSING FORUM,ONCOLOGY NURSING SOC,0190-535X,1538-0688,1.6,4
Journal of School Nursing,SAGE PUBLICATIONS INC,1059-8405,1546-8364,1.5,4
JOURNAL OF NEUROSCIENCE NURSING,LIPPINCOTT WILLIAMS & WILKINS,0888-0395,1945-2810,1.5,4
Revista Latino-Americana de Enfermagem,"UNIV SAO PAULO, ESCOLA DE ENFERMAGEM DE RIBEIRAO PRETO",1518-8345,1518-8345,1.5,4
International Journal of Orthopaedic and Trauma Nursing,ELSEVIER SCI LTD,1878-1241,1878-1292,1.5,4
